tmstamp,value,tag_id,topic,date
2025-01-02 12:55:00,19978.465,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 13:00:00,19054.861,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 13:05:00,18247.93,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 13:10:00,16706.117,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 13:15:00,13729.953,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 13:20:00,10856.697,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 13:25:00,13290.488,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 13:30:00,11889.581,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 13:35:00,11468.465,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 13:40:00,8828.6045,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 13:45:00,7373.0234,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 13:50:00,7329.442,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 13:55:00,6172.0933,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 14:00:00,5257.744,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 14:05:00,4112.1396,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 14:10:00,2993.0698,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 14:15:00,1799.2142,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 14:20:00,1780.2325,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 14:25:00,1649.9535,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 14:30:00,1280.907,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 14:35:00,945.3023,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 14:40:00,691.9535,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 14:45:00,345.6279,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 14:50:00,116.02273,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 14:55:00,12.395349,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 15:00:00,0.0,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 15:05:00,0.0,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 15:10:00,0.0,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 15:15:00,0.0,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 15:20:00,0.0,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 15:25:00,0.0,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-03 05:30:00,0.0,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 05:35:00,62.186047,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 05:40:00,122.62791,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 05:45:00,410.34885,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 05:50:00,667.6977,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 05:55:00,1012.1628,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 06:00:00,1901.5349,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 06:05:00,613.3721,12223,P0086H01/I002/Ptot,2025-01-03
