time,temp_c,cloud,date,user_object_id
2025-02-04 07:15:00,-1.1,59.0,2025-02-04,70
2025-02-04 07:30:00,-1.1,59.0,2025-02-04,70
2025-02-04 07:45:00,-1.1,59.0,2025-02-04,70
2025-02-04 08:00:00,-0.8,71.0,2025-02-04,70
2025-02-04 08:15:00,-0.8,71.0,2025-02-04,70
2025-02-04 08:30:00,-0.8,71.0,2025-02-04,70
2025-02-04 08:45:00,-0.8,71.0,2025-02-04,70
2025-02-04 09:00:00,0.5,73.0,2025-02-04,70
2025-02-04 09:15:00,0.5,73.0,2025-02-04,70
2025-02-04 09:30:00,0.5,73.0,2025-02-04,70
2025-02-04 09:45:00,0.5,73.0,2025-02-04,70
2025-02-04 10:00:00,1.8,63.0,2025-02-04,70
2025-02-04 10:15:00,1.8,63.0,2025-02-04,70
2025-02-04 10:30:00,1.8,63.0,2025-02-04,70
2025-02-04 10:45:00,1.8,63.0,2025-02-04,70
2025-02-04 11:00:00,2.9,51.0,2025-02-04,70
2025-02-04 11:15:00,2.9,51.0,2025-02-04,70
2025-02-04 11:30:00,2.9,51.0,2025-02-04,70
2025-02-04 11:45:00,2.9,51.0,2025-02-04,70
2025-02-04 12:00:00,3.5,37.0,2025-02-04,70
2025-02-04 12:15:00,3.6,50.0,2025-02-04,70
2025-02-04 12:30:00,3.6,50.0,2025-02-04,70
2025-02-04 12:45:00,3.6,50.0,2025-02-04,70
2025-02-04 13:00:00,4.0,33.0,2025-02-04,70
2025-02-04 13:15:00,4.0,33.0,2025-02-04,70
2025-02-04 13:30:00,4.0,33.0,2025-02-04,70
2025-02-04 13:45:00,4.0,33.0,2025-02-04,70
2025-02-04 14:00:00,4.4,23.0,2025-02-04,70
2025-02-04 14:15:00,4.4,23.0,2025-02-04,70
2025-02-04 14:30:00,4.4,23.0,2025-02-04,70
2025-02-04 14:45:00,4.4,23.0,2025-02-04,70
2025-02-04 15:00:00,4.5,24.0,2025-02-04,70
2025-02-04 15:15:00,4.5,24.0,2025-02-04,70
2025-02-04 15:30:00,4.5,24.0,2025-02-04,70
2025-02-04 15:45:00,4.5,24.0,2025-02-04,70
2025-02-04 16:00:00,4.3,100.0,2025-02-04,70
2025-02-04 16:15:00,4.3,100.0,2025-02-04,70
2025-02-04 16:30:00,4.3,100.0,2025-02-04,70
2025-02-04 16:45:00,4.3,100.0,2025-02-04,70
2025-02-04 17:00:00,3.4,45.0,2025-02-04,70
2025-02-04 17:15:00,3.4,45.0,2025-02-04,70
2025-02-04 17:30:00,3.4,45.0,2025-02-04,70
